WKT;id;calle;tipo_calle;codigo_calle;id_eje;sm;lado;altura;paridad;regla_general_id;regla_general;horario_regla_general_id;horario_regla_general;normativa_id;normativa;horario_normativa_id;horario_normativa;tarifa
"MULTILINESTRING ((-58.4085666092817 -34.5929957702973,-58.4085769126717 -34.5929929131409,-58.4095503083166 -34.5927906663457,-58.4095589115603 -34.5927888024325))";24906;CHARCAS;CALLE;3219;7540;15-084;derecho;3001 - 3099;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4079746986674 -34.5925362854018,-58.408375651109 -34.593003741873))";24907;AGUERO;CALLE;1022;7550;15-084;derecho;1401 - 1499;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4089436266498 -34.5916628790529,-58.4080150526342 -34.5909899435654))";24908;GALLO;CALLE;7018;7268;15-085;derecho;1601 - 1699;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4072596804099 -34.5917231563193,-58.4073939694228 -34.5918595199968,-58.4078453838519 -34.5923857753925))";24909;AGUERO;CALLE;1022;7400;15-085;derecho;1501 - 1599;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4078073122734 -34.5908358629683,-58.4071006736086 -34.5903144499495,-58.4070747597675 -34.5902955645556))";24910;AUSTRIA;CALLE;1138;7079;15-086;derecho;1701 - 1799;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.406976300371 -34.5902955523731,-58.4062978646926 -34.5908534993248,-58.4062760101106 -34.590871468357))";24911;ARENALES;CALLE;1104;7092;15-086;derecho;2901 - 2999;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.3962007663625 -34.583501927944,-58.396998345463 -34.5841246848793))";24912;AGUERO;CALLE;1022;5566;15-096;derecho;2601 - 2699;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4069085019312 -34.5901732600504,-58.4063710051899 -34.58978176685,-58.4063230455579 -34.5897468022213))";24913;AUSTRIA;CALLE;1138;6916;15-087;derecho;1801 - 1899;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4054642660306 -34.5903608221649,-58.4055349763911 -34.5904129067731,-58.4061010474195 -34.590830987816))";24914;AGUERO;CALLE;1022;7091;15-087;derecho;1701 - 1799;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
"MULTILINESTRING ((-58.4061423324243 -34.5896158274826,-58.4053272786439 -34.5890217487255,-58.4052948418041 -34.5889981600674))";24915;AUSTRIA;CALLE;1138;6799;15-088;derecho;1901 - 1999;IMPAR;2;PERMITIDO ESTACIONAR;1;24 HORAS;;;;;
